Business_Sector,Business_Subsector,Business_Model,Ownership_Type,Registration_Year,Duration_Operation,Business_Age,Initial_Capital,Num_Employees,Location,Owner_Age,Owner_Gender,Business_Type,Growth_Indicator,Business_Status
Transport & Logistics,"Road transport (bus, taxi, moto, trucks)",Hybrid,Limited Company,2002,23,23,8123210,5,Rwamagana,63,Male,Micro-enterprise,0.21,Operating
Nonprofit & Community Organizations,Religious organizations,Product-based,Cooperative,2014,11,11,9761573,2,Nyagatare,18,Male,SME,-0.03,Closed
Transport & Logistics,Rail (future projects),Hybrid,Sole Proprietorship,2014,11,11,6866783,38,Rwamagana,53,Female,Micro-enterprise,-0.04,Operating
Health & Social Work,"Hospitals, clinics, pharmacies",Hybrid,Sole Proprietorship,2001,24,24,8888321,17,Rwamagana,62,Female,Micro-enterprise,-0.16,Operating
Transport & Logistics,Rail (future projects),Hybrid,Cooperative,2018,7,7,9490633,41,Musanze,42,Female,Micro-enterprise,0.44,Operating
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Service-based,Limited Company,2010,15,15,14294052,13,Rwamagana,37,Male,Startup,0.29,Operating
Construction & Real Estate,Building & civil engineering works,Product-based,Limited Company,2000,25,25,7499614,44,Huye,61,Female,Micro-enterprise,-0.01,Operating
Manufacturing,"Chemicals, plastics, rubber, paints",Product-based,Sole Proprietorship,2013,12,12,7574088,18,Rubavu,20,Male,Micro-enterprise,0.3,Operating
Manufacturing,"Cement, ceramics, building materials",Hybrid,Sole Proprietorship,2011,14,14,6404465,17,Huye,47,Female,Micro-enterprise,-0.16,Operating
Mining & Quarrying,"Tin, tungsten, tantalum (3Ts)",Hybrid,Sole Proprietorship,2020,5,5,12653768,22,Kigali,32,Female,SME,0.41,Operating
"Agriculture, Forestry & Fishing","Livestock farming (cattle, goats, poultry, pigs, rabbits, fish)",Service-based,Sole Proprietorship,2021,4,4,1826041,3,Nyagatare,40,Female,Micro-enterprise,-0.06,Operating
Public Administration & Defense,Security & defense institutions,Service-based,Limited Company,2013,12,12,5202284,40,Rubavu,59,Female,SME,0.47,Operating
"Agriculture, Forestry & Fishing",Fishing & aquaculture,Service-based,Limited Company,2011,14,14,120756,31,Rubavu,28,Female,Micro-enterprise,0.43,Operating
Wholesale & Retail Trade,E-commerce & distribution,Service-based,Limited Company,2023,2,2,1527264,38,Huye,53,Female,Micro-enterprise,-0.2,Operating
Construction & Real Estate,Real estate development & property management,Product-based,Cooperative,2005,20,20,12234650,17,Nyagatare,50,Female,Micro-enterprise,0.35,Operating
Manufacturing,"Textile, apparel & leather goods",Product-based,Partnership,2022,3,3,17965040,25,Rwamagana,53,Female,SME,0.24,Operating
Wholesale & Retail Trade,E-commerce & distribution,Service-based,Cooperative,2000,25,0,2983795,14,Huye,32,Male,SME,0.34,Operating
Mining & Quarrying,"Tin, tungsten, tantalum (3Ts)",Service-based,Cooperative,2023,2,0,8461335,12,Rwamagana,25,Male,Micro-enterprise,0.48,Operating
"Arts, Entertainment & Recreation","Music, events & performing arts",Hybrid,Cooperative,2009,16,16,9092738,5,Rwamagana,62,Male,Micro-enterprise,0.41,Operating
Manufacturing,"Cement, ceramics, building materials",Hybrid,Partnership,2013,12,12,7295792,42,Rubavu,53,Female,SME,-0.18,Operating
Public Administration & Defense,Security & defense institutions,Hybrid,Limited Company,2021,4,4,2393187,8,Rubavu,25,Male,SME,0,Operating
Wholesale & Retail Trade,"General trade (shops, supermarkets, open markets)",Product-based,Sole Proprietorship,2004,21,0,4195372,22,Rwamagana,23,Male,Micro-enterprise,0.33,Operating
Nonprofit & Community Organizations,NGOs & cooperatives,Hybrid,Partnership,2017,8,0,8119212,22,Nyagatare,43,Male,SME,0.23,Operating
Health & Social Work,"Hospitals, clinics, pharmacies",Hybrid,Cooperative,2007,18,18,7725032,18,Musanze,18,Male,SME,0.24,Operating
Information & Communication Technology (ICT),"Software development, IT services & startups",Hybrid,Limited Company,2017,8,8,3934789,49,Huye,56,Female,SME,0.14,Closed
Construction & Real Estate,Road construction & maintenance,Service-based,Partnership,2013,12,12,2480529,10,Kigali,46,Male,Startup,0.38,Operating
Health & Social Work,NGOs & community health services,Service-based,Limited Company,2019,6,6,7842736,42,Kigali,25,Male,Micro-enterprise,-0.2,Operating
Mining & Quarrying,"Tin, tungsten, tantalum (3Ts)",Service-based,Cooperative,2025,0,0,14717079,31,Musanze,31,Male,Micro-enterprise,0.25,Operating
Information & Communication Technology (ICT),"Telecommunications (MTN, Airtel, broadband providers)",Service-based,Limited Company,2000,25,25,2957102,11,Rubavu,28,Male,SME,0.1,Operating
Construction & Real Estate,Building & civil engineering works,Product-based,Cooperative,2024,1,1,16032098,31,Rwamagana,20,Female,SME,0.44,Closed
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Service-based,Partnership,2009,16,16,11758161,5,Rubavu,28,Male,Startup,0.11,Operating
Construction & Real Estate,Road construction & maintenance,Product-based,Partnership,2003,22,22,19835889,15,Rubavu,49,Male,Micro-enterprise,0.34,Operating
Public Administration & Defense,Security & defense institutions,Service-based,Limited Company,2004,21,21,1482447,38,Rusizi,47,Female,SME,0.37,Operating
Hospitality & Tourism,Cultural & eco-tourism services,Service-based,Sole Proprietorship,2014,11,11,7082364,27,Kigali,37,Male,Micro-enterprise,-0.07,Operating
Public Administration & Defense,Government services,Product-based,Cooperative,2000,25,25,1113194,34,Rwamagana,54,Male,Micro-enterprise,0.05,Closed
Construction & Real Estate,Real estate development & property management,Hybrid,Sole Proprietorship,2014,11,11,6433327,3,Rubavu,59,Male,Startup,0.26,Operating
Construction & Real Estate,"Architecture, engineering & technical services",Service-based,Cooperative,2003,22,22,1488853,2,Rubavu,35,Male,SME,0.22,Operating
Construction & Real Estate,Road construction & maintenance,Service-based,Cooperative,2002,23,23,12843809,21,Kigali,51,Female,Micro-enterprise,0.32,Operating
"Arts, Entertainment & Recreation",Sports clubs & fitness centers,Service-based,Sole Proprietorship,2017,8,8,5829943,43,Kigali,29,Male,Startup,-0.13,Closed
Information & Communication Technology (ICT),"Software development, IT services & startups",Product-based,Partnership,2025,0,0,3957604,40,Kigali,45,Male,SME,0,Operating
Hospitality & Tourism,Travel agencies & tour operators,Service-based,Sole Proprietorship,2003,22,22,4684706,34,Rwamagana,36,Male,SME,-0.15,Closed
Mining & Quarrying,"Tin, tungsten, tantalum (3Ts)",Hybrid,Cooperative,2023,2,2,617724,20,Rwamagana,58,Female,Micro-enterprise,0.02,Closed
Construction & Real Estate,Real estate development & property management,Hybrid,Limited Company,2005,20,20,2937421,35,Rusizi,64,Male,SME,0.2,Operating
Financial & Insurance Services,"Capital markets, investment funds",Service-based,Limited Company,2016,9,9,5613096,9,Huye,35,Male,SME,0.17,Operating
Professional & Business Services,Security services,Product-based,Limited Company,2005,20,20,6844710,12,Rusizi,49,Male,Startup,-0.14,Closed
Nonprofit & Community Organizations,Religious organizations,Service-based,Limited Company,2019,6,6,3965338,2,Huye,29,Female,Micro-enterprise,0.4,Operating
Education & Training,Vocational & technical training (TVET),Service-based,Sole Proprietorship,2007,18,18,1455322,2,Rubavu,42,Male,Micro-enterprise,0.19,Operating
Financial & Insurance Services,Banking (commercial & microfinance),Product-based,Limited Company,2013,12,12,7137645,20,Nyagatare,49,Female,Micro-enterprise,-0.16,Operating
Education & Training,Vocational & technical training (TVET),Hybrid,Sole Proprietorship,2001,24,24,586535,9,Huye,63,Female,Startup,-0.06,Operating
Health & Social Work,"Hospitals, clinics, pharmacies",Hybrid,Limited Company,2001,24,0,6251701,19,Huye,19,Female,Micro-enterprise,-0.12,Operating
Transport & Logistics,"Road transport (bus, taxi, moto, trucks)",Service-based,Partnership,2014,11,11,4546300,13,Rubavu,20,Female,Micro-enterprise,0.05,Operating
Public Administration & Defense,Government services,Hybrid,Cooperative,2014,11,11,2654316,48,Kigali,64,Male,SME,0.5,Closed
"Arts, Entertainment & Recreation",Gaming & leisure activities,Product-based,Sole Proprietorship,2005,20,20,6249956,30,Huye,36,Female,SME,0.32,Operating
Transport & Logistics,"Aviation (RwandAir, airport services)",Hybrid,Partnership,2011,14,14,6030868,16,Kigali,33,Male,Startup,0.06,Operating
Energy & Utilities,"Electricity (hydropower, solar, methane gas, peat, biomass)",Hybrid,Partnership,2001,24,24,15265429,37,Musanze,45,Male,Startup,0.43,Operating
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Hybrid,Limited Company,2020,5,5,7798993,11,Rusizi,28,Female,Micro-enterprise,0.24,Operating
"Arts, Entertainment & Recreation",Gaming & leisure activities,Product-based,Partnership,2008,17,17,2873508,4,Huye,39,Female,SME,-0.1,Closed
Financial & Insurance Services,Banking (commercial & microfinance),Product-based,Limited Company,2008,17,17,3605052,12,Rwamagana,56,Female,Startup,0.33,Operating
Hospitality & Tourism,Cultural & eco-tourism services,Service-based,Partnership,2025,0,0,6765583,36,Nyagatare,18,Male,Micro-enterprise,-0.09,Operating
